id,Group,Name,rows,cols,entries
843,Cunningham,m3plates,11107,11107,6639
445,Garon,garon2,13535,13535,373235
970,Schenk_ISEI,nmos3,18588,18588,237130
1417,Sandia,ASIC_320k,321821,321821,1931828
347,Boeing,bcsstm37,25503,25503,15525
2,HB,494_bus,494,494,1666
877,Pothen,mesh3e1,289,289,1889
878,Pothen,mesh3em5,289,289,1889
875,Pothen,mesh2e1,306,306,2018
876,Pothen,mesh2em5,306,306,2018
2205,JGD_Trefethen,Trefethen_150,150,150,2040
315,Bai,mhdb416,416,416,2312
27,HB,bcsstk05,153,153,2423
206,HB,lund_a,147,147,2449
3,HB,662_bus,662,662,2474
2206,JGD_Trefethen,Trefethen_200b,199,199,2873
2207,JGD_Trefethen,Trefethen_200,200,200,2890
42,HB,bcsstk20,485,485,3135
4,HB,685_bus,685,685,3249
222,HB,nos6,675,675,3255
26,HB,bcsstk04,132,132,3648
1,HB,1138_bus,1138,1138,4054
24,HB,bcsstk02,66,66,4356
223,HB,nos7,729,729,4617
2208,JGD_Trefethen,Trefethen_300,300,300,4678
221,HB,nos5,468,468,5172
229,HB,plat362,362,362,5786
41,HB,bcsstk19,817,817,6853
62,HB,bcsstm07,420,420,7252
1401,Bates,Chem97ZtZ,2541,2541,7361
159,HB,gr_30_30,900,900,7744
28,HB,bcsstk06,420,420,7860
29,HB,bcsstk07,420,420,7860
2209,JGD_Trefethen,Trefethen_500,500,500,8478
2210,JGD_Trefethen,Trefethen_700,700,700,12654
30,HB,bcsstk08,1074,1074,12960
219,HB,nos3,960,960,15844
1623,Bai,mhd3200b,3200,3200,18316
31,HB,bcsstk09,1083,1083,18437
67,HB,bcsstm12,1473,1473,19659
339,Boeing,bcsstk34,588,588,21418
32,HB,bcsstk10,1086,1086,22070
430,FIDAP,ex33,1733,1733,22189
1621,Bai,mhd1280b,1280,1280,22778
43,HB,bcsstk21,3600,3600,26600
1625,Bai,mhd4800b,4800,4800,27520
358,Boeing,msc01050,1050,1050,29156
48,HB,bcsstk26,1922,1922,30336
1911,TKK,plbuckle,1282,1282,30644
228,HB,plat1919,1919,1919,32399
33,HB,bcsstk11,1473,1473,34241
34,HB,bcsstk12,1473,1473,34241
357,Boeing,msc00726,726,726,34518
363,Boeing,nasa1824,1824,1824,39208
757,Nasa,nasa1824,1824,1824,39208
2211,JGD_Trefethen,Trefethen_2000,2000,2000,41906
45,HB,bcsstk23,3134,3134,45178
359,Boeing,msc01440,1440,1440,46270
427,FIDAP,ex3,1821,1821,52685
407,FIDAP,ex10,2410,2410,54840
49,HB,bcsstk27,1224,1224,56126
408,FIDAP,ex10hs,2548,2548,57308
36,HB,bcsstk14,1806,1806,63454
1425,GHS_indef,bloweybq,10001,10001,69991
758,Nasa,nasa2146,2146,2146,72250
1214,Cannizzo,sts4098,4098,4098,72356
411,FIDAP,ex13,2568,2568,75628
35,HB,bcsstk13,2003,2003,83883
887,Norris,fv1,9604,9604,85264
888,Norris,fv2,9801,9801,87025
889,Norris,fv3,9801,9801,87025
360,Boeing,msc04515,4515,4515,97707
413,FIDAP,ex15,6867,6867,98671
440,FIDAP,ex9,3363,3363,99471
365,Boeing,nasa4704,4704,4704,104756
760,Nasa,nasa4704,4704,4704,104756
353,Boeing,crystm01,4875,4875,105339
37,HB,bcsstk15,3948,3948,117816
868,Pothen,bodyy4,17546,17546,121938
791,Okunbor,aft01,8205,8205,125567
869,Pothen,bodyy5,18589,18589,129281
870,Pothen,bodyy6,19366,19366,134748
1406,Bindel,ted_B,10605,10605,144579
1409,Bindel,ted_B_unscaled,10605,10605,144579
40,HB,bcsstk18,11948,11948,149090
46,HB,bcsstk24,3562,3562,159910
1331,MathWorks,Muu,7102,7102,170134
364,Boeing,nasa2910,2910,2910,174296
759,Nasa,nasa2910,2910,2910,174296
1205,Oberwolfach,t2dah_e,11445,11445,176117
1313,GHS_psdef,minsurfo,40806,40806,203622
1611,Cylshell,s3rmt3m3,5357,5357,207695
50,HB,bcsstk28,4410,4410,219024
1608,Cylshell,s1rmt3m1,5489,5489,219521
1609,Cylshell,s2rmt3m1,5489,5489,219521
1610,Cylshell,s3rmt3m1,5489,5489,219521
47,HB,bcsstk25,15439,15439,252241
1605,Cylshell,s1rmq4m1,5489,5489,281111
1606,Cylshell,s2rmq4m1,5489,5489,281111
1607,Cylshell,s3rmq4m1,5489,5489,281111
38,HB,bcsstk16,4884,4884,290378
1330,MathWorks,Kuu,7102,7102,340200
343,Boeing,bcsstk38,8032,8032,355460
1203,Oberwolfach,gyro_m,17361,17361,340431
1310,GHS_psdef,cvxbqp1,50000,50000,349968
39,HB,bcsstk17,10974,10974,428650
1288,GHS_psdef,wathen100,30401,30401,471601
1311,GHS_psdef,gridgena,48962,48962,512084
1422,GHS_psdef,apache1,80800,80800,542184
2212,JGD_Trefethen,Trefethen_20000b,19999,19999,554435
2213,JGD_Trefethen,Trefethen_20000,20000,20000,554466
1289,GHS_psdef,wathen120,36441,36441,565761
1402,Schmid,thermal1,82654,82654,574458
355,Boeing,crystm03,24696,24696,583770
752,Mulvey,finan512,74752,74752,596992
1912,TKK,cbuckle,13681,13681,676515
2257,Botonakis,thermomech_TC,102158,102158,711558
2258,Botonakis,thermomech_TK,102158,102158,711558
1184,ACUSIM,Pres_Poisson,14822,14822,715804
1412,AMD,G2_circuit,150102,150102,726674
813,Simon,olafu,16146,16146,1015156
1202,Oberwolfach,gyro_k,17361,17361,1021159
1435,Oberwolfach,gyro,17361,17361,1021159
1848,UTEP,Dubcova2,65025,65025,1030225
341,Boeing,bcsstk36,23052,23052,1143140
362,Boeing,msc23052,23052,23052,1154814
1892,Castrillon,denormal,89400,89400,1156224
361,Boeing,msc10848,10848,10848,1229778
817,Simon,raefsky4,19779,19779,1328611
2259,Botonakis,thermomech_dM,204316,204316,1423116
1919,Um,2cubes_sphere,101492,101492,1647264
845,Cunningham,qa8fm,66127,66127,1660579
804,Rothberg,cfd1,70656,70656,1828364
1287,GHS_psdef,vanbody,47072,47072,2336898
761,Nasa,nasasrb,54870,54870,2677324
356,Boeing,ct20stif,52329,52329,2698463
805,Rothberg,cfd2,123440,123440,3087898
936,ND,nd3k,9000,9000,3279690
1270,GHS_psdef,oilpan,73752,73752,3597188
1849,UTEP,Dubcova3,146689,146689,3636649
1853,Wissgott,parabolic_fem,525825,525825,3674625
1909,TKK,smt,25710,25710,3753184
1276,GHS_psdef,s3dkt3m2,90449,90449,3753461
2375,Williams,cant,62451,62451,4007383
1283,DNVS,thread,29736,29736,4470048
1277,DNVS,ship_001,34920,34920,4644230
1423,GHS_psdef,apache2,715176,715176,4817870
1275,GHS_psdef,s3dkq4m2,90449,90449,4820891
1883,McRae,ecology2,999999,999999,4995991
1899,CEMW,tmt_sym,726713,726713,5080961
2374,Williams,consph,83334,83334,6010480
1281,DNVS,shipsec8,114919,114919,6653399
1454,Oberwolfach,boneS01,127224,127224,6715152
937,ND,nd6k,18000,18000,6897316
1253,GHS_psdef,bmw7st_1,141347,141347,7339667
1279,DNVS,shipsec1,140874,140874,7813404
1278,DNVS,ship_003,121728,121728,8086034
1269,DNVS,m_t1,97578,97578,9753570
1280,DNVS,shipsec5,179860,179860,10113096
1290,DNVS,x104,108384,108384,10167624
1257,GHS_psdef,crankseg_1,52804,52804,10614210
1254,GHS_psdef,bmwcra_1,148770,148770,10644002
1266,GHS_psdef,hood,220542,220542,10768436
369,Boeing,pwtk,217918,217918,11634424
1850,BenElechi,BenElechi1,245874,245874,13150496
1258,GHS_psdef,crankseg_2,63838,63838,14148858
938,ND,nd12k,36000,36000,14220946
1580,Schenk_AFE,af_0_k101,503625,503625,17550675
1581,Schenk_AFE,af_1_k101,503625,503625,17550675
1582,Schenk_AFE,af_2_k101,503625,503625,17550675
1583,Schenk_AFE,af_3_k101,503625,503625,17550675
1584,Schenk_AFE,af_4_k101,503625,503625,17550675
1585,Schenk_AFE,af_5_k101,503625,503625,17550675
942,Schenk_AFE,af_shell3,504855,504855,17588875
943,Schenk_AFE,af_shell4,504855,504855,17588875
946,Schenk_AFE,af_shell7,504855,504855,17588875
947,Schenk_AFE,af_shell8,504855,504855,17588875
2664,Mazaheri,bundle_adj,513351,513351,20208051
1644,INPRO,msdoor,415863,415863,20240935
2543,Janna,Fault_639,638802,638802,28614564
939,ND,nd24k,72000,72000,28715634
2661,Janna,PFlow_742,742793,742793,37138461
1268,GHS_psdef,ldoor,952203,952203,46522475
1455,Oberwolfach,boneS10,914898,914898,55468422
57,HB,bcsstm02,66,66,66
1438,Oberwolfach,LF10,18,18,82
72,HB,bcsstm22,138,138,138
2203,JGD_Trefethen,Trefethen_20b,19,19,147
60,HB,bcsstm05,153,153,153
2204,JGD_Trefethen,Trefethen_20,20,20,158
436,FIDAP,ex5,27,27,279
872,Pothen,mesh1e1,48,48,306
873,Pothen,mesh1em1,48,48,306
874,Pothen,mesh1em6,48,48,306
23,HB,bcsstk01,48,48,400
61,HB,bcsstm06,420,420,420
70,HB,bcsstm20,485,485,485
220,HB,nos4,100,100,594
25,HB,bcsstk03,112,112,640
44,HB,bcsstk22,138,138,696
69,HB,bcsstm19,817,817,817
2261,MaxPlanck,shallow_water1,81920,81920,327680
217,HB,nos1,237,237,1017
63,HB,bcsstm08,1074,1074,1074
64,HB,bcsstm09,1083,1083,1083
66,HB,bcsstm11,1473,1473,1473
76,HB,bcsstm26,1922,1922,1922
207,HB,lund_b,147,147,2441
73,HB,bcsstm23,3134,3134,3134
1939,JGD_BIBD,bibd_81_2,3240,3240,3240
74,HB,bcsstm24,3562,3562,3562
71,HB,bcsstm21,3600,3600,3600
218,HB,nos2,957,957,4137
1207,Oberwolfach,t2dal_e,4257,4257,4257
75,HB,bcsstm25,15439,15439,15439
1211,Oberwolfach,t3dl_e,20360,20360,20360
349,Boeing,bcsstm39,46772,46772,46772
1439,Oberwolfach,LFAT5000,19994,19994,79966
1437,Oberwolfach,LF10000,19998,19998,99982
1314,GHS_psdef,obstclae,40000,40000,197608
1315,GHS_psdef,torsion1,40000,40000,197608
1312,GHS_psdef,jnlbrng1,40000,40000,199200
1847,UTEP,Dubcova1,16129,16129,253009
354,Boeing,crystm02,13965,13965,322905
2262,MaxPlanck,shallow_water2,81920,81920,327680
2283,Um,offshore,259789,259789,4242673
1403,Schmid,thermal2,1228045,1228045,8580313
2547,Janna,StocF-1465,1465137,1465137,21005389
1267,GHS_psdef,inline_1,503712,503712,36816342
2542,Janna,Emilia_923,923136,923136,41005206
2546,Janna,Hook_1498,1498023,1498023,60917445
2545,Janna,Geo_1438,1437960,1437960,63156690
2541,Janna,Serena,1391349,1391349,64531701
1453,Oberwolfach,bone010,986703,986703,71666325
1325,Morandini,robot,120,120,870
1943,JGD_CAG,CAG_mat72,72,72,1012
141,HB,fs_183_1,183,183,1069
142,HB,fs_183_3,183,183,1069
143,HB,fs_183_4,183,183,1069
144,HB,fs_183_6,183,183,1069
2338,Rommes,ww_36_pmec_36,66,66,1194
6,HB,arc130,130,130,1282
175,HB,impcol_e,225,225,1308
174,HB,impcol_d,425,425,1339
1189,Rajat,rajat05,301,301,1384
215,HB,nnc261,261,261,1500
2559,CPM,cz148,148,148,1527
1112,Sandia,oscil_dcop_01,430,430,1544
1113,Sandia,oscil_dcop_02,430,430,1544
1114,Sandia,oscil_dcop_03,430,430,1544
1115,Sandia,oscil_dcop_04,430,430,1544
1116,Sandia,oscil_dcop_05,430,430,1544
1117,Sandia,oscil_dcop_06,430,430,1544
1118,Sandia,oscil_dcop_07,430,430,1544
1119,Sandia,oscil_dcop_08,430,430,1544
1120,Sandia,oscil_dcop_09,430,430,1544
1121,Sandia,oscil_dcop_10,430,430,1544
1122,Sandia,oscil_dcop_11,430,430,1544
1123,Sandia,oscil_dcop_12,430,430,1544
1124,Sandia,oscil_dcop_13,430,430,1544
1125,Sandia,oscil_dcop_14,430,430,1544
1126,Sandia,oscil_dcop_15,430,430,1544
1127,Sandia,oscil_dcop_16,430,430,1544
1128,Sandia,oscil_dcop_17,430,430,1544
1129,Sandia,oscil_dcop_18,430,430,1544
1130,Sandia,oscil_dcop_19,430,430,1544
1131,Sandia,oscil_dcop_20,430,430,1544
1132,Sandia,oscil_dcop_21,430,430,1544
1133,Sandia,oscil_dcop_22,430,430,1544
1134,Sandia,oscil_dcop_23,430,430,1544
1135,Sandia,oscil_dcop_24,430,430,1544
1136,Sandia,oscil_dcop_25,430,430,1544
1137,Sandia,oscil_dcop_26,430,430,1544
1138,Sandia,oscil_dcop_27,430,430,1544
1139,Sandia,oscil_dcop_28,430,430,1544
1140,Sandia,oscil_dcop_29,430,430,1544
1141,Sandia,oscil_dcop_30,430,430,1544
1142,Sandia,oscil_dcop_31,430,430,1544
1143,Sandia,oscil_dcop_32,430,430,1544
1144,Sandia,oscil_dcop_33,430,430,1544
1145,Sandia,oscil_dcop_34,430,430,1544
1146,Sandia,oscil_dcop_35,430,430,1544
1147,Sandia,oscil_dcop_36,430,430,1544
1148,Sandia,oscil_dcop_37,430,430,1544
1149,Sandia,oscil_dcop_38,430,430,1544
1150,Sandia,oscil_dcop_39,430,430,1544
1151,Sandia,oscil_dcop_40,430,430,1544
1152,Sandia,oscil_dcop_41,430,430,1544
1153,Sandia,oscil_dcop_42,430,430,1544
1154,Sandia,oscil_dcop_43,430,430,1544
1155,Sandia,oscil_dcop_44,430,430,1544
1156,Sandia,oscil_dcop_45,430,430,1544
1157,Sandia,oscil_dcop_46,430,430,1544
1158,Sandia,oscil_dcop_47,430,430,1544
1159,Sandia,oscil_dcop_48,430,430,1544
1160,Sandia,oscil_dcop_49,430,430,1544
1161,Sandia,oscil_dcop_50,430,430,1544
1162,Sandia,oscil_dcop_51,430,430,1544
1163,Sandia,oscil_dcop_52,430,430,1544
1164,Sandia,oscil_dcop_53,430,430,1544
1165,Sandia,oscil_dcop_54,430,430,1544
1166,Sandia,oscil_dcop_55,430,430,1544
1167,Sandia,oscil_dcop_56,430,430,1544
1168,Sandia,oscil_dcop_57,430,430,1544
1169,Sandia,oscil_trans_01,430,430,1614
247,HB,shl_0,663,663,1687
249,HB,shl_400,663,663,1712
248,HB,shl_200,663,663,1726
268,HB,west0497,497,497,1727
335,Bai,rw496,496,496,1859
267,HB,west0479,479,479,1910
266,HB,west0381,381,381,2157
1639,Bai,tols340,340,340,2196
1864,Muite,Chebyshev1,261,261,2319
2015,JGD_Homology,ch5-5-b3,600,600,2400
254,HB,str_0,363,363,2454
310,Bai,dw256A,512,512,2480
1616,Bai,dwa512,512,512,2480
311,Bai,dw256B,512,512,2500
1617,Bai,dwb512,512,512,2500
149,HB,fs_680_1,680,680,2646
150,HB,fs_680_2,680,680,2646
151,HB,fs_680_3,680,680,2646
212,HB,mcca,180,180,2659
190,HB,lns_511,511,511,2796
193,HB,lnsp_511,511,511,2796
269,HB,west0655,655,655,2854
307,Bai,ck400,400,400,2860
1627,Bai,qh768,768,768,2934
255,HB,str_200,363,363,3068
824,TOKAMAK,utm300,300,300,3155
256,HB,str_400,363,363,3157
2560,CPM,cz308,308,308,3182
82,HB,bp_0,822,822,3276
257,HB,str_600,363,363,3279
328,Bai,qh882,882,882,3354
234,HB,pores_3,532,532,3474
270,HB,west0989,989,989,3537
1637,Bai,tols1090,1090,1090,3546
292,Bai,bfwa398,398,398,3678
87,HB,bp_200,822,822,3802
308,Bai,ck656,656,656,3884
280,HB,young3c,841,841,3988
88,HB,bp_400,822,822,4028
216,HB,nnc666,666,666,4044
89,HB,bp_600,822,822,4172
450,Grund,b2_ss,1089,1089,4228
451,Grund,b_dyn,1089,1089,4264
145,HB,fs_541_1,541,541,4285
146,HB,fs_541_2,541,541,4285
147,HB,fs_541_3,541,541,4285
148,HB,fs_541_4,541,541,4285
90,HB,bp_800,822,822,4534
83,HB,bp_1000,822,822,4661
84,HB,bp_1200,822,822,4726
85,HB,bp_1400,822,822,4790
86,HB,bp_1600,822,822,4841
1638,Bai,tols2000,2000,2000,5184
1346,Rajat,rajat19,1157,1157,5399
271,HB,west1505,1505,1505,5445
1059,Sandia,fpga_dcop_05,1220,1220,5852
1061,Sandia,fpga_dcop_07,1220,1220,5855
1060,Sandia,fpga_dcop_06,1220,1220,5860
1896,YZhou,circuit204,1020,1020,5883
1058,Sandia,fpga_dcop_04,1220,1220,5884
1064,Sandia,fpga_dcop_10,1220,1220,5884
1062,Sandia,fpga_dcop_08,1220,1220,5888
1063,Sandia,fpga_dcop_09,1220,1220,5888
1055,Sandia,fpga_dcop_01,1220,1220,5892
1056,Sandia,fpga_dcop_02,1220,1220,5892
1057,Sandia,fpga_dcop_03,1220,1220,5892
1065,Sandia,fpga_dcop_11,1220,1220,5892
1066,Sandia,fpga_dcop_12,1220,1220,5892
1067,Sandia,fpga_dcop_13,1220,1220,5892
1068,Sandia,fpga_dcop_14,1220,1220,5892
1069,Sandia,fpga_dcop_15,1220,1220,5892
1070,Sandia,fpga_dcop_16,1220,1220,5892
1071,Sandia,fpga_dcop_17,1220,1220,5892
1072,Sandia,fpga_dcop_18,1220,1220,5892
1073,Sandia,fpga_dcop_19,1220,1220,5892
1074,Sandia,fpga_dcop_20,1220,1220,5892
1075,Sandia,fpga_dcop_21,1220,1220,5892
1076,Sandia,fpga_dcop_22,1220,1220,5892
1077,Sandia,fpga_dcop_23,1220,1220,5892
1078,Sandia,fpga_dcop_24,1220,1220,5892
1079,Sandia,fpga_dcop_25,1220,1220,5892
1080,Sandia,fpga_dcop_26,1220,1220,5892
1081,Sandia,fpga_dcop_27,1220,1220,5892
1082,Sandia,fpga_dcop_28,1220,1220,5892
1083,Sandia,fpga_dcop_29,1220,1220,5892
1084,Sandia,fpga_dcop_30,1220,1220,5892
1085,Sandia,fpga_dcop_31,1220,1220,5892
1086,Sandia,fpga_dcop_32,1220,1220,5892
1087,Sandia,fpga_dcop_33,1220,1220,5892
1088,Sandia,fpga_dcop_34,1220,1220,5892
1089,Sandia,fpga_dcop_35,1220,1220,5892
1090,Sandia,fpga_dcop_36,1220,1220,5892
1091,Sandia,fpga_dcop_37,1220,1220,5892
