id,Group,Name,rows,cols,entries
877,Pothen,mesh3e1,289,289,1889
878,Pothen,mesh3em5,289,289,1889
875,Pothen,mesh2e1,306,306,2018
876,Pothen,mesh2em5,306,306,2018
2205,JGD_Trefethen,Trefethen_150,150,150,2040
27,HB,bcsstk05,153,153,2423
206,HB,lund_a,147,147,2449
3,HB,662_bus,662,662,2474
2206,JGD_Trefethen,Trefethen_200b,199,199,2873
2207,JGD_Trefethen,Trefethen_200,200,200,2890
4,HB,685_bus,685,685,3249
26,HB,bcsstk04,132,132,3648
24,HB,bcsstk02,66,66,4356
2208,JGD_Trefethen,Trefethen_300,300,300,4678
221,HB,nos5,468,468,5172
62,HB,bcsstm07,420,420,7252
1401,Bates,Chem97ZtZ,2541,2541,7361
159,HB,gr_30_30,900,900,7744
2209,JGD_Trefethen,Trefethen_500,500,500,8478
2210,JGD_Trefethen,Trefethen_700,700,700,12654
219,HB,nos3,960,960,15844
31,HB,bcsstk09,1083,1083,18437
2211,JGD_Trefethen,Trefethen_2000,2000,2000,41906
758,Nasa,nasa2146,2146,2146,72250
887,Norris,fv1,9604,9604,85264
888,Norris,fv2,9801,9801,87025
889,Norris,fv3,9801,9801,87025
868,Pothen,bodyy4,17546,17546,121938
791,Okunbor,aft01,8205,8205,125567
869,Pothen,bodyy5,18589,18589,129281
1406,Bindel,ted_B,10605,10605,144579
1409,Bindel,ted_B_unscaled,10605,10605,144579
1331,MathWorks,Muu,7102,7102,170134
1313,GHS_psdef,minsurfo,40806,40806,203622
38,HB,bcsstk16,4884,4884,290378
1330,MathWorks,Kuu,7102,7102,340200
1288,GHS_psdef,wathen100,30401,30401,471601
1289,GHS_psdef,wathen120,36441,36441,565761
752,Mulvey,finan512,74752,74752,596992
2257,Botonakis,thermomech_TC,102158,102158,711558
1848,UTEP,Dubcova2,65025,65025,1030225
2259,Botonakis,thermomech_dM,204316,204316,1423116
845,Cunningham,qa8fm,66127,66127,1660579
1849,UTEP,Dubcova3,146689,146689,3636649
